7389,4,10,788
5255,4,10,658
4298,4,10,453
4440,4,10,1650
3031,4,10,1149
5101,4,10,1819
5226,4,10,727
9366,4,10,1366
5942,4,10,1223
5807,4,10,200
2148,4,10,1118
6144,4,10,177
6413,4,10,881
5503,4,10,715
7166,4,10,1610
3500,4,10,1729
1790,4,10,339
7612,4,10,1024
1651,4,10,836
3669,4,10,1753
5998,4,10,1938
1932,4,10,160
7217,4,10,499
1885,4,10,238
9576,4,10,1049
6258,4,10,613
6361,4,10,769
4790,4,10,1541
9155,4,10,1996
8814,4,10,1394
1483,4,10,1503
8234,4,10,1268
9070,4,10,1872
1018,4,10,1914
2800,4,10,904
7842,4,10,353
9449,4,10,637
3409,4,10,1001
3158,4,10,598
6975,4,10,27
3780,4,10,1567
4653,4,10,102
3260,4,10,51
8601,4,10,447
8167,4,10,133
7731,4,10,1430
2490,4,10,119
3884,4,10,1708
9899,4,10,513
6898,4,10,1242
4343,4,10,1485
8916,4,10,945
2738,4,10,581
8022,4,10,922
4935,4,10,1305
4138,4,10,566
2018,4,10,675
9468,4,10,475
5445,4,10,1888
3979,4,10,391
5753,4,10,984
9662,4,10,1068
6819,4,10,1412
9962,4,10,951
2606,4,10,1777
7766,4,10,278
7064,4,10,1966
1114,4,10,528
5338,4,10,41
1624,4,10,1481
6584,4,10,1044
4195,4,10,1828
2282,4,10,1944
8493,4,10,1330
6685,4,10,1356
1436,4,10,1285
8339,4,10,816
7964,4,10,1583
6046,4,10,1800
5605,4,10,1180
9739,4,10,1189
2208,4,10,1086
4548,4,10,1626
4703,4,10,84
6577,4,10,266
2630,4,10,292
3843,4,10,850
8467,4,10,761
1203,4,10,1558
1346,4,10,223
3597,4,10,411
2385,4,10,1665
9257,4,10,1690
5021,4,10,317
8704,4,10,1258
8973,4,10,1847
7445,4,10,691
7515,4,10,1136
3235,4,10,1454
2963,4,10,379
